bg_id,id,value,bayesaverage
187617,5496,43,7.42306
172081,5496,78,7.23172
172081,5499,49,7.23175
139976,5496,47,7.39512
139976,5497,178,7.25406
209685,5499,52,7.19559
302723,5496,35,7.47204
234,4664,20,7.6707
143693,5497,191,7.22717
227789,5497,180,7.24698
163967,5497,230,7.14318
54,5497,213,7.17094
136888,5497,199,7.21052
140934,5499,53,7.19019
40692,5497,253,7.10858
40692,5499,64,7.13805
172818,5496,91,7.16386
45315,5497,207,7.18641
260605,5498,8,7.36098
260605,5499,45,7.2521
300322,5497,149,7.32762
101721,4667,11,7.33972
129622,5499,68,7.12765
77130,5497,218,7.16467
257499,5496,68,7.2839
5,5497,226,7.15038
181304,5496,104,7.11263
181304,5499,66,7.13148
2653,5499,59,7.15579
59959,5496,94,7.15702
59959,5497,225,7.15053
25292,5496,84,7.19375
176920,5497,208,7.18613
21241,5497,228,7.1452
219513,5499,54,7.18657
39856,5498,21,7.11719
41114,5498,25,7.07587
70919,5499,65,7.13644
37046,5497,237,7.13157
119890,5497,220,7.15792
163745,4664,46,7.42812
163745,5496,57,7.31486
184921,5499,51,7.19903
285967,5497,175,7.26533
156546,5498,4,7.46104
188866,5496,70,7.27031
188866,5499,48,7.23498
199042,5496,109,7.09438
199042,5497,271,7.06946
234487,5497,204,7.19764
230253,5497,194,7.21858
172,5499,62,7.14074
192458,5497,195,7.21696
182134,5497,217,7.16712
17392,4664,15,7.72601
8217,5497,247,7.11537
25554,5497,222,7.15433
1,5497,189,7.22911
50,5499,71,7.11345
297030,5497,181,7.24292
39683,5497,221,7.15599
234277,5497,198,7.21131
250458,5497,211,7.18323
24480,5497,242,7.12349
90137,5496,89,7.17423
246192,5499,57,7.16636
33160,5497,219,7.16382
9217,5497,244,7.1205
31594,5497,229,7.14408
244271,5499,50,7.22969
245934,5497,205,7.18913
304420,5497,193,7.2222
144592,5497,203,7.20574
186751,5497,200,7.20986
204305,5496,69,7.28067
265736,5499,70,7.12486
63888,5497,256,7.10167
256226,4666,15,7.19514
256226,5499,63,7.14034
21348,5497,241,7.124
21348,5499,60,7.15392
270633,5497,160,7.30495
70323,5499,86,7.05242
244711,5497,209,7.18607
40765,5497,210,7.18555
170771,5496,53,7.33583
111341,5497,183,7.23663
155987,5497,261,7.09491
195539,5496,87,7.18541
195539,5497,234,7.13968
260428,5497,214,7.1708
154809,5497,202,7.20594
166669,5497,224,7.15271
236191,5497,216,7.16811
36932,5496,82,7.20869
128271,5497,215,7.16879
71,5497,240,7.12687
198773,5498,22,7.11515
121,5496,79,7.23131
121,5497,233,7.14124
54625,5496,80,7.22662
40354,4664,11,7.74046
243,4664,17,7.71832
194594,5499,76,7.08902
215311,5499,69,7.12493
161614,5497,227,7.1464
47,5497,251,7.10948
269210,5499,56,7.16662
15987,5496,126,7.02397
124708,5496,114,7.07607
55670,5497,235,7.13899
63628,5497,260,7.09619
66188,5497,265,7.08994
66188,5499,73,7.10557
298047,5499,61,7.1476
215341,5497,206,7.18674
245655,5496,60,7.30686
151347,5496,74,7.26171
304783,5497,187,7.23193
229220,5497,232,7.14263
285192,5496,65,7.29298
138161,5496,113,7.08156
100901,5496,123,7.03235
100901,5499,88,7.04752
128671,5496,97,7.13298
197376,5497,282,7.04722
274960,5499,77,7.08515
79828,4664,83,7.23811
79828,5497,257,7.09962
34219,5497,277,7.05197
34219,5499,80,7.07086
270844,5497,249,7.11438
27162,5497,285,7.04393
27162,5499,85,7.05288
15985,5496,62,7.30345
96913,5497,248,7.11536
251658,5499,72,7.10784
176396,5499,78,7.07964
372,5499,75,7.09723
66362,5497,266,7.08748
92415,5498,27,7.03679
11170,4667,27,7.15988
11170,5496,101,7.11785
192153,5496,112,7.08283
192153,5497,299,7.0135
314491,5497,231,7.14315
314491,5499,55,7.18433
105134,5497,289,7.03234
18833,5497,258,7.09954
311193,5497,212,7.17416
262543,5498,15,7.22834
137408,5497,250,7.11075
150658,5497,287,7.03436
150658,5499,82,7.06974
25417,4664,105,7.14759
25417,5496,118,7.06847
62222,4664,13,7.73434
150,5498,20,7.12161
150,5499,81,7.06974
246684,5497,236,7.13351
157969,5498,28,7.01052
157969,5499,102,6.99376
5404,5497,268,7.07151
194607,5497,293,7.02436
17226,5496,119,7.06475
128996,4664,41,7.43694
83330,5496,121,7.05147
712,5496,93,7.15904
712,5497,297,7.01736
226522,5496,76,7.25554
226522,5499,58,7.15733
136063,5499,101,6.99429
146791,5496,73,7.26429
177639,5497,292,7.02731
341169,5497,190,7.22769
256730,5497,243,7.12144
291572,5496,96,7.14154
291572,5497,255,7.10527
158899,5499,103,6.99057
62227,4664,53,7.38776
62227,5497,276,7.05592
156858,5496,95,7.14665
162082,5497,278,7.05183
233312,5496,100,7.11865
171,4666,45,6.78528
478,5497,346,6.92392
478,5499,118,6.94727
98778,5499,115,6.96259
264241,4666,9,7.3954
264241,5499,67,7.13032
15062,5496,145,6.9569
95527,5497,252,7.10888
123123,5497,246,7.11553
13,5497,419,6.83893
13,5499,135,6.9071
205398,5499,96,7.0082
20437,5496,120,7.05686
20437,5497,290,7.03146
43570,5497,335,6.95575
119506,5496,85,7.1937
119506,5497,262,7.09334
144189,4664,14,7.72766
65781,5497,274,7.05728
127398,5496,142,6.9621
105551,5497,296,7.02248
206941,5497,269,7.07012
240196,5496,88,7.17709
202426,5497,238,7.12898
193042,5498,16,7.17886
193042,5499,84,7.06733
150145,5499,83,7.06924
319966,5497,254,7.10748
191862,5499,93,7.0098
97786,5497,315,6.9888
97786,5499,97,7.00733
232414,5497,284,7.04661
171668,5496,131,6.99019
133848,5497,310,6.9948
144797,5497,263,7.09286
221965,5499,95,7.00917
36553,5498,5,7.39526
180974,5499,109,6.98125
245654,5499,92,7.01341
875,5497,245,7.11796
102652,5496,143,6.9619
21790,5497,331,6.96273
21790,5499,110,6.97915
125618,5497,324,6.97549
142379,5497,270,7.06987
293141,5499,74,7.09841
269144,5497,283,7.04665
262211,5497,239,7.12816
12942,5499,114,6.9704
31999,4666,7,7.44818
9674,4666,21,7.0502
147949,5498,38,6.93149
58421,5497,280,7.05075
262215,5497,275,7.05675
11,5499,121,6.9398
301880,5497,264,7.0918
17405,5497,223,7.15273
90419,5497,298,7.01461
90419,5499,90,7.02943
163968,5497,309,6.99539
232043,5499,98,6.99779
156009,5499,112,6.97587
18,5496,159,6.90093
18,5497,373,6.90118
133473,5499,125,6.93018
34119,5496,141,6.96284
42052,5497,279,7.05174
27173,5497,308,6.99582
181530,5496,115,7.07301
97842,5497,319,6.98097
31730,5497,306,6.99951
192836,5497,273,7.0673
133038,5496,137,6.97189
128780,5497,272,7.06803
316377,5497,291,7.02839
6249,5497,363,6.90841
6249,5499,123,6.93744
475,5497,307,6.99829
256952,4665,1,7.57585
256952,5499,79,7.07093
183251,5499,105,6.98655
329082,5497,267,7.08043
151022,5496,105,7.10726
151022,5497,294,7.0243
218603,4666,38,6.89955
218603,5499,122,6.9387
91312,5496,154,6.92136
277085,5498,17,7.14529
277085,5499,89,7.04145
22827,5496,124,7.03214
22827,5497,327,6.97226
27746,5497,326,6.97446
27746,5499,104,6.98736
141572,5497,337,6.95032
141572,5499,113,6.97272
196326,5498,18,7.12465
196326,5499,94,7.00918
84419,4664,49,7.41403
15363,4664,141,7.04601
15363,5496,128,7.00501
153938,5499,131,6.92366
3685,4664,51,7.39837
252328,4664,73,7.27674
252328,4667,7,7.46213
2346,4666,11,7.30072
183562,4667,8,7.43124
297562,5497,259,7.09903
159508,5497,318,6.98257
298069,5499,87,7.04765
39351,5497,303,7.00568
155703,5497,368,6.90425
140603,5497,302,7.00716
39938,5497,322,6.9765
169427,5496,46,7.41061
160010,5496,103,7.11523
170561,5497,330,6.96405
170561,5499,99,6.99711
212445,5496,81,7.21891
28023,5499,132,6.9226
172308,5497,341,6.94522
172308,5499,116,6.95909
175095,5496,63,7.29557
6472,5497,355,6.91422
9625,5497,295,7.02306
258210,4664,79,7.25092
258210,5497,288,7.03271
503,4666,22,7.04838
503,5497,351,6.91789
42215,5499,120,6.94095
274638,5497,286,7.03853
318084,5497,304,7.00348
4390,5499,127,6.92894
205359,4667,25,7.1734
169255,4667,12,7.31827
257501,4667,29,7.09737
117959,5499,117,6.95279
42776,5496,116,7.07132
113924,5496,174,6.85068
284435,4666,16,7.16504
247367,5497,317,6.98768
290236,5499,100,6.99555
143519,5497,347,6.92318
174785,4664,87,7.22815
174785,5497,311,6.99415
220,5499,126,6.92931
270673,5499,108,6.98132
131357,5498,45,6.79723
216734,5499,119,6.94371
30869,5499,124,6.93432
265402,5497,301,7.00726
119432,5497,325,6.97478
1513,5497,340,6.94641
73171,5496,98,7.12275
130960,4664,6,7.78379
135219,4664,37,7.45265
135219,5496,86,7.18949
37904,5496,176,6.84756
37904,5499,151,6.85462
121408,5497,362,6.9092
163166,5498,23,7.09527
10547,5496,220,6.74032
209778,5499,147,6.86987
1353,5498,24,7.08477
264055,5499,134,6.91445
248490,5497,312,6.99403
248490,5499,91,7.02306
24508,4666,30,6.982
24508,5497,372,6.90134
198953,5496,90,7.17295
198953,5497,281,7.05025
269511,5497,300,7.00866
58281,4667,30,7.0777
193949,5496,102,7.11694
111799,4664,45,7.42952
180511,5497,336,6.95546
50750,5497,350,6.91924
224710,5496,117,7.0705
46,5497,361,6.90949
121288,5498,19,7.12345
3201,5497,375,6.90038
303057,5497,333,6.95889
21763,5497,418,6.83952
5782,5499,150,6.8611
150997,5496,83,7.20054
216600,5497,338,6.94839
216600,5499,111,6.97821
13004,5499,136,6.90683
203416,5497,365,6.90626
203416,5499,130,6.92536
70512,5497,344,6.93824
107529,5497,425,6.83019
107529,5499,154,6.85239
245961,5497,314,6.99203
116998,5497,360,6.91194
318184,5497,313,6.99327
266121,5496,92,7.16242
134726,5497,411,6.84704
134726,5499,146,6.87385
260180,4666,13,7.25068
260180,5499,106,6.98196
30380,5497,379,6.89032
296912,5497,382,6.88683
171499,5499,139,6.88722
113294,5499,158,6.84409
699,5496,190,6.81084
88,4666,29,6.99544
88,5497,396,6.87012
126792,5497,356,6.91421
20963,5496,161,6.8966
100423,5496,195,6.80537
155624,5496,146,6.95621
155624,5497,389,6.87649
258036,5497,376,6.89876
258036,5499,129,6.92702
173064,5496,108,7.09952
173064,5497,334,6.95809
432,5499,166,6.83015
65532,5496,139,6.9684
123540,5499,176,6.81306
163839,5497,343,6.94377
160495,5497,328,6.97011
170624,5497,332,6.95961
213893,5497,390,6.87556
181521,5496,140,6.96747
162007,5497,404,6.8575
162007,5499,144,6.8786
154825,5497,305,7.0003
146278,4666,39,6.86802
146278,5497,399,6.86427
239942,5497,339,6.94755
153016,5498,12,7.28677
3307,5497,342,6.94502
168584,5499,137,6.89203
29603,4664,4,7.83938
72321,5497,395,6.87114
9823,4664,25,7.57402
190082,5497,366,6.90546
15364,5497,392,6.87345
193558,5497,369,6.90412
165401,5497,321,6.9807
143741,5498,46,6.78039
87890,5497,354,6.91422
2955,5497,384,6.88219
232219,4666,33,6.94217
232219,5499,145,6.87699
156336,5497,444,6.8031
156336,5499,165,6.83075
242574,5499,143,6.88037
242639,5496,156,6.91405
242639,5499,140,6.88397
167400,4667,33,7.05448
214880,5497,316,6.98819
73761,5496,180,6.8319
73761,5499,162,6.83441
69789,5497,465,6.78325
244115,5497,370,6.90373
2398,4666,48,6.75881
2398,5499,167,6.83003
31563,5496,130,6.99448
226320,5499,141,6.88341
7717,5497,424,6.83163
7717,5499,153,6.8525
68425,5497,426,6.82862
22345,5497,408,6.85047
256382,5499,185,6.78526
283393,5497,367,6.9049
233247,5497,402,6.85969
270970,5497,380,6.88986
270970,5499,128,6.92752
55600,5497,352,6.91673
132018,4664,48,7.41461
132018,5497,349,6.92045
284742,5497,348,6.92066
284742,5499,107,6.98161
168435,5499,168,6.82947
586,4664,24,7.62363
179803,5496,99,7.1191
173442,5497,320,6.98075
271518,5499,133,6.91697
206480,4664,12,7.73873
206480,5497,323,6.97596
36235,4666,24,7.03376
71721,5496,189,6.81117
2163,4664,101,7.15968
2163,5496,129,6.99954
192457,5497,417,6.84066
143515,5497,385,6.88103
483,5497,501,6.7368
231581,5497,383,6.884
183840,5497,457,6.79044
135779,5498,34,6.96577
244228,4666,34,6.92591
244228,5499,159,6.84097
137988,5496,157,6.9128
241724,5499,155,6.84852
20100,5498,41,6.82688
255692,5497,353,6.91521
220520,5497,412,6.84596
47185,4667,40,7.01858
47185,5497,439,6.81058
201825,5497,432,6.8213
249381,5497,359,6.91327
43528,5497,403,6.85904
156943,5497,358,6.91353
200147,5499,164,6.83101
162286,5497,387,6.88011
26997,4664,32,7.48808
26997,5497,345,6.9351
230244,5497,398,6.86952
203417,5496,160,6.89908
203417,5499,156,6.84814
79127,5496,127,7.00837
79127,5497,409,6.84893
322708,5496,110,7.09331
21882,5497,442,6.80722
21882,5499,171,6.82087
170416,5496,177,6.84288
170416,5497,448,6.79921
160499,5499,190,6.76937
169654,5499,186,6.78438
110277,5497,436,6.81216
214887,5497,378,6.89335
38996,4664,50,7.41102
131287,5497,394,6.8712
284760,5499,142,6.88299
158889,4667,5,7.65028
266830,5497,386,6.88101
2453,4666,46,6.78466
40628,5499,169,6.82402
91872,5496,167,6.86564
204516,4664,90,7.21592
290359,4664,66,7.31925
290359,5496,122,7.03615
218333,4665,2,7.10532
218333,5499,149,6.86162
281442,5497,377,6.89579
552,5497,371,6.90269
171273,5499,180,6.80293
1035,4664,71,7.29223
158435,5497,388,6.87822
30957,5497,415,6.8439
156566,5497,441,6.80727
41002,5497,410,6.84877
306040,5497,364,6.9063
251678,5499,163,6.8311
198830,5497,391,6.87509
299659,5497,329,6.9663
280480,5497,374,6.90082
117915,5496,155,6.91961
117915,5497,407,6.85091
24800,4664,81,7.24238
12002,5497,469,6.77767
181687,5499,160,6.83727
179275,5496,202,6.78496
191051,5497,422,6.83383
244992,5498,53,6.75364
244992,5499,209,6.73557
163602,5496,191,6.80956
177590,4664,138,7.05488
177590,5497,423,6.83188
202670,5499,148,6.86227
256570,5497,393,6.87159
197443,5499,161,6.83721
28181,4664,7,7.78292
252153,5499,157,6.84468
12962,5497,430,6.82397
528,4666,20,7.09807
51,4666,44,6.81424
45,5498,50,6.76859
45,5499,198,6.75416
18098,4664,23,7.63983
148575,4667,41,6.99121
194879,5497,500,6.73778
161417,5499,200,6.75269
145659,5497,451,6.79669
12891,4664,60,7.34909
244114,5497,357,6.91417
166384,5498,52,6.75384
283864,5499,138,6.8899
113997,5496,168,6.86154
113997,5498,37,6.93674
103886,4667,42,6.97197
217780,5497,400,6.86331
11825,4664,9,7.75376
35570,5497,421,6.83537
137269,5497,460,6.78766
12902,5497,449,6.79882
12902,5499,172,6.81938
94,5497,433,6.81895
175117,5499,197,6.75767
41,5499,205,6.74143
139898,5497,416,6.84151
119788,5497,443,6.80539
180593,5497,496,6.74525
234671,5497,405,6.85249
224597,4667,14,7.2761
179172,5496,196,6.80112
179172,5497,480,6.76453
218121,5497,476,6.76843
218121,5499,178,6.80661
176165,5497,471,6.77449
176165,5499,179,6.8055
30645,5497,438,6.81135
300300,5496,125,7.03196
155362,5498,51,6.76499
195137,5496,136,6.97685
15512,5499,213,6.72201
16747,5498,32,6.97401
16747,5499,170,6.82312
53953,5496,222,6.73935
53953,5497,518,6.72002
204472,5496,182,6.82553
177678,5497,414,6.84412
129948,5497,445,6.79966
41066,4664,19,7.67194
41066,5497,381,6.88939
82421,4667,18,7.25674
82421,5497,420,6.83811
283863,5497,401,6.86327
156689,4667,22,7.20625
156689,5496,133,6.98493
300877,5499,173,6.81684
8125,5497,458,6.78874
218074,5496,111,7.08514
1041,5497,450,6.79852
122298,5499,202,6.7479
220517,5497,435,6.81232
132028,4664,29,7.52316
65244,5499,241,6.67502
244608,5499,152,6.85371
154458,5497,466,6.7824
91514,4665,10,6.80694
91514,5499,208,6.73619
26566,5497,440,6.80966
29368,5496,239,6.69382
37380,5497,517,6.72019
37380,5499,211,6.72798
26990,5497,459,6.78852
2181,4666,36,6.91175
2181,5497,447,6.79947
279613,5496,107,7.09969
1465,5499,212,6.72658
1345,5497,487,6.76037
227460,4664,18,7.69995
223953,5496,165,6.87425
223953,5499,174,6.8154
216459,5496,210,6.76276
9440,5497,474,6.77022
82420,4667,15,7.26906
82420,5497,427,6.82692
98229,5498,29,6.99795
13642,5497,481,6.76372
218479,5497,413,6.84535
151004,5496,186,6.81874
151004,5497,499,6.74134
27976,4667,19,7.24806
27976,5496,132,6.98635
98351,5497,470,6.77484
234477,4664,207,6.88481
234477,5497,452,6.79392
275467,5499,177,6.80983
172047,5496,162,6.8932
148319,5496,171,6.85436
148319,5497,485,6.76163
108906,5496,163,6.88844
131260,5499,217,6.71428
160851,5499,214,6.71914
239464,5499,196,6.7581
491,5497,446,6.79959
491,5499,175,6.81329
65901,5497,431,6.82178
66356,5496,204,6.78136
195560,5496,158,6.90241
195560,5497,463,6.78428
301255,5497,406,6.85127
256999,5496,106,7.09984
202408,5496,201,6.78689
202408,5497,509,6.72539
240,4664,135,7.06477
332800,4667,4,7.69249
332800,5497,397,6.86976
2093,4666,62,6.69307
106217,5497,477,6.76663
108784,5497,484,6.76167
52461,5496,181,6.8313
52461,5497,483,6.76203
191977,5497,515,6.7222
904,5497,493,6.75159
904,5499,193,6.765
8051,5497,507,6.72855
201921,5497,537,6.69562
272738,5496,193,6.80761
27588,5499,233,6.69132
59946,5496,234,6.71206
147151,5498,58,6.70208
329465,5497,510,6.72503
56692,5499,210,6.72897
285984,5497,492,6.75215
214029,5497,428,6.82454
207243,5496,151,6.93796
207243,5497,478,6.766
207830,5499,247,6.66489
38054,5497,521,6.71767
38054,5499,207,6.73705
169124,5496,229,6.72176
169124,5499,227,6.69966
203427,5499,206,6.73843
238992,5496,214,6.75503
193214,5499,204,6.74185
219215,5498,36,6.9408
244331,4666,28,7.00045
244331,5499,188,6.77561
125678,5496,246,6.67275
254386,5499,184,6.78672
198740,5498,40,6.86694
212402,5499,219,6.71267
197405,4666,23,7.04588
245643,5499,194,6.76461
25669,4666,72,6.61696
25669,5499,251,6.65416
210296,5496,152,6.93778
248065,5496,144,6.95871
248065,5497,532,6.70077
154086,5497,464,6.7837
235488,5499,195,6.76216
177478,5497,429,6.8242
554,5497,519,6.71869
280794,5496,138,6.9694
171669,5497,516,6.7219
95064,5497,504,6.73412
273330,5496,135,6.97892
174570,5496,153,6.93105
19600,5497,506,6.72911
69779,4664,76,7.2638
69779,5497,453,6.79226
242804,5497,472,6.77435
196526,5497,475,6.76956
293296,5499,181,6.80184
158275,4667,36,7.02717
180680,5497,491,6.7555
180680,5499,191,6.76797
939,5496,147,6.955
66505,5497,527,6.71205
224,5496,216,6.75064
224,5497,542,6.68995
72287,5497,576,6.6527
165838,5496,134,6.98448
182340,5497,455,6.79172
228328,5497,454,6.79222
161866,5496,166,6.86565
199966,5497,490,6.75617
207691,5497,482,6.76352
112,5497,585,6.64332
298065,5497,503,6.73449
298065,5499,189,6.77126
299047,5499,187,6.77991
168917,5497,539,6.69493
200077,5497,573,6.65597
178336,5497,525,6.71419
178336,5499,203,6.74412
131646,5496,183,6.82331
131646,5497,522,6.71746
15817,5499,224,6.70171
